,OutputGene,InputGene,FuncSimScore,PhenoSimScore,InteractionFound,FuncSharedTerms,PhenoSharedTerms
93,PASK,NHLRC1,0.3025210084033613,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
94,UBE2H,NHLRC1,,,1.0,,
95,PSMC3,EPM2A,,,1.0,,
96,RASSF5,NHLRC1,0.3790849673202614,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
97,RBBP6,NHLRC1,0.3114754098360656,,,"['Cellular protein modification process ', 'Protein modification process ', 'Macromolecule modification ']",
98,RCHY1,NHLRC1,0.42857142857142855,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
99,RNF111,NHLRC1,0.3461538461538461,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
100,RNF122,NHLRC1,0.31756756756756754,,,"['Cellular protein modification process ', 'Protein modification process ', 'Macromolecule modification ']",
101,UBE2G2,NHLRC1,0.3034188034188034,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
102,OTUB1,EPM2A,,,1.0,,
103,UBE2E1,NHLRC1,,,1.0,,
104,UBE2D3,NHLRC1,,,1.0,,
105,UBE2D1,NHLRC1,,,1.0,,
106,PRKAG3,NHLRC1,0.3168724279835391,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
107,PILRB,NHLRC1,0.3625,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
108,PELI2,NHLRC1,0.3069306930693069,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
109,PPP2R3C,NHLRC1,0.33519553072625696,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
110,ZFP91,NHLRC1,0.3686868686868687,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
111,ZFAND2A,NHLRC1,0.3225806451612903,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Positive regulation of cellular protein metabolic process ']",
112,PPP1R3B,NHLRC1,0.3370165745856354,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
113,WDFY2,NHLRC1,0.32413793103448274,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
114,USP5,NHLRC1,0.3475609756097561,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
115,USP4,NHLRC1,0.3081081081081081,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
116,PPP1R3E,NHLRC1,0.31137724550898205,,,"['Cellular protein modification process ', 'Protein modification process ', 'Macromolecule modification ']",
117,PPP2R5A,NHLRC1,0.3791208791208791,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
118,PRKAB2,EPM2A,,,1.0,,
119,PHKG2,NHLRC1,0.36464088397790057,,,"['Cellular protein modification process ', 'Protein modification process ', 'Macromolecule modification ']",
120,USP13,NHLRC1,0.3035714285714285,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
121,PHKG1,NHLRC1,0.34394904458598724,,,"['Cellular protein modification process ', 'Protein modification process ', 'Macromolecule modification ']",
122,UBE2S,NHLRC1,0.3578947368421053,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
123,UBE2C,NHLRC1,0.3285024154589372,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
124,PRKAA1,EPM2A,,,1.0,,
125,PRKAA2,EPM2A,,,1.0,,
126,RNF128,NHLRC1,0.3736263736263736,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
127,TMEM129,NHLRC1,0.3419354838709677,,,"['Cellular protein modification process ', 'Protein modification process ', 'Macromolecule modification ']",
128,RNF139,NHLRC1,0.336322869955157,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
129,SMG8,NHLRC1,0.35526315789473684,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
130,SPDYA,NHLRC1,0.3015075376884422,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
131,TOM1L1,NHLRC1,0.3793103448275862,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
132,SPOPL,NHLRC1,0.3309859154929577,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
133,SPRTN,NHLRC1,0.3374233128834356,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
134,SPSB4,NHLRC1,0.4097222222222222,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
135,SQSTM1,EPM2A,,,1.0,,
136,SRPK2,EPM2A,,,1.0,,
137,STBD1,EPM2A,,,1.0,,
138,STK40,NHLRC1,0.30526315789473685,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
139,STRADA,NHLRC1,0.328125,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
140,STRADB,NHLRC1,0.30952380952380953,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
141,SUMO2,NHLRC1,0.3148148148148148,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
142,TCL1A,NHLRC1,0.3612903225806451,,,,
143,TCL1B,NHLRC1,0.35,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
144,TDG,EPM2A,,,1.0,,
145,TMTC3,NHLRC1,0.3540372670807453,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
146,TMEM59,NHLRC1,0.32446808510638303,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
147,SOCS4,NHLRC1,0.35545023696682465,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
148,SHC2,NHLRC1,0.3372093023255814,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
149,RNF144B,NHLRC1,0.30985915492957744,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
150,SH3RF3,NHLRC1,0.3470588235294117,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
151,RNF180,NHLRC1,0.3656716417910448,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
152,TELO2,NHLRC1,0.3295454545454545,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
153,RNF185,NHLRC1,0.371584699453552,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
154,RNF186,NHLRC1,0.3851351351351352,,,"['Cellular protein modification process ', 'Protein modification process ', 'Macromolecule modification ']",
155,RNF187,NHLRC1,0.37869822485207105,,,"['Cellular protein modification process ', 'Protein modification process ', 'Macromolecule modification ']",
156,RNF217,NHLRC1,0.3053435114503817,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
157,RNFT1,NHLRC1,0.37423312883435583,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
158,RPL10,EPM2A,,,1.0,,
159,RPLP1,NHLRC1,0.3623188405797101,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
160,RPS2,NHLRC1,0.3271028037383177,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
161,RPS6KB2,NHLRC1,0.3016759776536313,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
162,TTC3,NHLRC1,0.3106060606060606,,,"['Cellular protein modification process ', 'Protein modification process ', 'Macromolecule modification ']",
163,TRPT1,NHLRC1,0.3087248322147651,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
164,TRIB2,NHLRC1,0.3521739130434783,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
165,TRAF7,NHLRC1,0.35294117647058826,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
166,SERTAD1,NHLRC1,0.33519553072625696,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
167,SH3RF2,NHLRC1,0.3065134099616858,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
168,NUB1,NHLRC1,0.3272727272727273,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
169,MMD2,NHLRC1,0.32620320855614976,,,,
170,NNAT,NHLRC1,,,1.0,,
171,NKD2,NHLRC1,0.32547169811320753,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Positive regulation of cellular protein metabolic process ']",
172,COP1,NHLRC1,0.3935483870967742,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
173,COPS8,NHLRC1,0.3209302325581395,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
174,COX5A,EPM2A,,,1.0,,
175,DAZAP2,NHLRC1,0.34567901234567894,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
176,DBF4,NHLRC1,0.3575418994413408,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
177,DBNDD2,NHLRC1,0.31543624161073824,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
178,DERL1,NHLRC1,0.35353535353535354,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
179,DET1,NHLRC1,0.32098765432098764,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
180,DGKA,NHLRC1,0.3282051282051282,,,"['Phosphorylation ', 'Transferase activity ']",
181,DGKB,NHLRC1,0.30049261083743845,,,"['Phosphorylation ', 'Transferase activity ']",
182,DGKE,NHLRC1,0.3333333333333333,,,"['Phosphorylation ', 'Transferase activity ']",
183,DGKG,NHLRC1,0.3177083333333333,,,"['Phosphorylation ', 'Transferase activity ']",
184,DGKH,NHLRC1,0.32446808510638303,,,"['Phosphorylation ', 'Transferase activity ']",
185,DGKK,NHLRC1,0.33516483516483514,,,"['Phosphorylation ', 'Transferase activity ']",
186,DGKZ,NHLRC1,0.3142857142857143,,,"['Regulation of transferase activity ', 'Positive regulation of cellular metabolic process ', 'Positive regulation of metabolic process ']",
187,DIRAS3,NHLRC1,0.3333333333333333,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
188,DNAJC10,NHLRC1,0.3025641025641025,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
189,DOCK3,NHLRC1,0.3431952662721893,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
190,DOK7,NHLRC1,0.3684210526315789,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
191,DUSP11,EPM2A,,,1.0,,
192,DUSP3,EPM2A,,,1.0,,
193,DUSP5,NHLRC1,0.327683615819209,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
194,DVL2,NHLRC1,,,1.0,,
195,COMMD1,NHLRC1,0.3278008298755187,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
196,CNPPD1,NHLRC1,0.32867132867132864,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
197,CLSPN,NHLRC1,0.3087557603686636,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
198,CBLC,NHLRC1,0.3240740740740741,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
199,ARAF,NHLRC1,0.3756613756613757,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
