,OutputGene,InputGene,FuncSimScore,PhenoSimScore,InteractionFound,FuncSharedTerms,PhenoSharedTerms
97,RBBP6,NHLRC1,0.3114754098360656,,,"['Cellular protein modification process ', 'Protein modification process ', 'Macromolecule modification ']",
98,RCHY1,NHLRC1,0.42857142857142855,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
99,UBE2E1,NHLRC1,,,1.0,,
100,UBE2D3,NHLRC1,,,1.0,,
101,UBE2D1,NHLRC1,,,1.0,,
102,UBE2C,NHLRC1,0.3285024154589372,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
103,RNF111,NHLRC1,0.3461538461538461,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
104,PRKAA2,EPM2A,,,1.0,,
105,NUB1,NHLRC1,0.3272727272727273,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
106,PHKG1,NHLRC1,0.34394904458598724,,,"['Cellular protein modification process ', 'Protein modification process ', 'Macromolecule modification ']",
107,USP4,NHLRC1,0.3081081081081081,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
108,PHKG2,NHLRC1,0.36464088397790057,,,"['Cellular protein modification process ', 'Protein modification process ', 'Macromolecule modification ']",
109,PILRB,NHLRC1,0.3625,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
110,PKM,EPM2A,,,1.0,,
111,ZFAND2A,NHLRC1,0.3225806451612903,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Positive regulation of cellular protein metabolic process ']",
112,WDFY2,NHLRC1,0.32413793103448274,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
113,USP5,NHLRC1,0.3475609756097561,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
114,PPP1R3B,NHLRC1,0.3370165745856354,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
115,USP13,NHLRC1,0.30493273542600896,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
116,UBE2L3,NHLRC1,0.32196969696969696,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
117,ZFP91,NHLRC1,0.3686868686868687,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
118,PPP1R3E,NHLRC1,0.31137724550898205,,,"['Cellular protein modification process ', 'Protein modification process ', 'Macromolecule modification ']",
119,PASK,NHLRC1,0.3037974683544304,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
120,PPP2R3C,NHLRC1,0.33519553072625696,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
121,PPP2R5A,NHLRC1,0.3791208791208791,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
122,RNF122,NHLRC1,0.31756756756756754,,,"['Cellular protein modification process ', 'Protein modification process ', 'Macromolecule modification ']",
123,OTUB1,EPM2A,,,1.0,,
124,UBE2S,NHLRC1,0.3578947368421053,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
125,TMEM59,NHLRC1,0.32446808510638303,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
126,RNF128,NHLRC1,0.3736263736263736,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
127,STBD1,EPM2A,,,1.0,,
128,SMG8,NHLRC1,0.35526315789473684,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
129,SOCS4,NHLRC1,0.35545023696682465,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
130,SPDYA,NHLRC1,0.3015075376884422,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
131,SPOPL,NHLRC1,0.3309859154929577,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
132,SPRTN,NHLRC1,0.3374233128834356,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
133,SPSB4,NHLRC1,0.4097222222222222,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
134,SQSTM1,EPM2A,,,1.0,,
135,SRPK2,EPM2A,,,1.0,,
136,STK40,NHLRC1,0.30526315789473685,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
137,RNF139,NHLRC1,0.336322869955157,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
138,STRADA,NHLRC1,0.328125,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
139,STRADB,NHLRC1,0.30952380952380953,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
140,TOM1L1,NHLRC1,0.3793103448275862,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
141,SUMO2,NHLRC1,0.31155778894472363,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
142,TCL1B,NHLRC1,0.35,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
143,TDG,EPM2A,,,1.0,,
144,TMTC3,NHLRC1,0.3540372670807453,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
145,TELO2,NHLRC1,0.3295454545454545,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
146,SHC2,NHLRC1,0.3372093023255814,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
